Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,Close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
"21-Jan-2025","EQ","92.47","95.60","91.85","92.18","93.00","93.00","93.65","149.66","87.30","12,77,456","11,96,36,591.85","12,837"
"20-Jan-2025","EQ","91.40","92.75","90.68","90.90","92.10","92.18","92.01","149.66","87.30","7,96,219","7,32,60,044.74","8,372"
"17-Jan-2025","EQ","91.34","91.77","90.32","91.12","90.85","90.90","90.94","149.66","87.30","6,20,089","5,63,87,926.82","8,985"
"16-Jan-2025","EQ","90.15","91.80","90.11","89.02","91.21","91.12","90.99","149.66","87.30","7,60,673","6,92,14,433.76","7,828"
"15-Jan-2025","EQ","90.59","91.69","88.15","89.67","89.25","89.02","90.17","149.66","87.30","9,03,099","8,14,35,583.72","11,116"
"14-Jan-2025","EQ","88.51","90.52","88.04","88.46","90.28","89.67","89.57","149.66","87.30","11,31,576","10,13,54,336.79","16,827"
"13-Jan-2025","EQ","93.99","94.48","87.30","94.79","88.99","88.46","90.86","149.66","87.30","15,97,044","14,51,14,845.70","28,615"
"10-Jan-2025","EQ","97.47","97.47","94.25","97.47","94.93","94.79","95.36","149.66","94.25","6,67,172","6,36,21,875.94","14,207"
"09-Jan-2025","EQ","98.25","98.46","96.81","97.32","97.20","97.47","97.62","149.66","95.51","4,45,465","4,34,85,987.10","7,385"
"08-Jan-2025","EQ","98.90","99.20","96.70","98.57","97.30","97.32","97.30","149.66","95.51","6,32,220","6,15,12,635.28","12,510"
"07-Jan-2025","EQ","98.47","99.18","97.26","97.55","98.99","98.57","98.46","149.66","95.51","5,26,587","5,18,48,422.53","9,571"
"06-Jan-2025","EQ","103.65","103.65","97.01","103.65","98.08","97.55","99.22","149.66","95.51","14,01,822","13,90,90,954.91","21,551"
"03-Jan-2025","EQ","103.80","104.90","102.61","103.64","103.52","103.65","103.96","149.66","95.51","12,69,917","13,20,21,988.85","12,909"
"02-Jan-2025","EQ","101.05","106.00","100.60","100.54","103.43","103.64","103.62","149.66","95.51","30,94,114","32,06,24,864.81","33,010"
"01-Jan-2025","EQ","97.75","101.75","97.14","97.32","101.50","100.54","99.12","149.66","95.51","7,74,436","7,67,62,129.16","9,958"
"31-Dec-2024","EQ","97.00","97.90","96.05","97.00","97.60","97.32","96.83","149.66","95.51","3,76,513","3,64,58,625.57","6,681"
"30-Dec-2024","EQ","96.40","97.99","96.07","96.29","97.09","97.00","97.14","149.66","95.51","8,47,312","8,23,11,182.34","11,212"
"27-Dec-2024","EQ","97.20","98.50","95.55","97.53","96.34","96.29","97.19","149.66","95.51","6,49,130","6,30,86,009.55","9,255"
"26-Dec-2024","EQ","97.00","97.85","96.40","96.03","97.58","97.53","97.12","149.66","95.51","6,36,002","6,17,71,001.80","6,883"
"24-Dec-2024","EQ","96.19","97.25","95.56","95.86","96.30","96.03","96.37","149.66","95.51","6,84,452","6,59,59,386.03","9,632"
"23-Dec-2024","EQ","97.98","97.99","95.51","96.67","96.04","95.86","96.27","149.66","95.51","8,35,052","8,03,91,638.30","11,623"
"20-Dec-2024","EQ","99.80","100.55","96.25","99.24","97.00","96.67","98.26","149.66","96.25","12,19,577","11,98,32,233.14","14,650"
"19-Dec-2024","EQ","98.50","99.80","97.66","99.33","99.40","99.24","99.00","149.66","96.51","7,75,306","7,67,57,785.64","10,376"
"18-Dec-2024","EQ","100.50","100.63","98.80","100.14","99.33","99.33","99.32","149.66","96.51","9,11,854","9,05,68,717.01","11,753"
"17-Dec-2024","EQ","102.24","102.39","99.94","101.97","100.50","100.14","100.72","149.66","96.51","8,88,612","8,95,04,951.64","10,675"
"16-Dec-2024","EQ","102.00","103.24","101.52","101.77","101.91","101.97","102.22","149.66","96.51","6,83,024","6,98,18,068.26","9,582"
