Date,Close,DMA,DMA25,DMA50,BuyLevel,SellLevel,BuySignal,BuyPrice,SellSignal,SellPrice
2025-02-18,48.27,56.87,54.35,56.87,51.18,62.56,0,,0,
2025-02-19,49.59,56.55,54.07,56.55,50.9,62.21,0,,0,
2025-02-20,49.75,56.26,53.8,56.26,50.63,61.89,0,,0,
2025-02-21,49.1,55.96,53.51,55.96,50.37,61.56,0,,0,
2025-02-24,47.96,55.67,53.18,55.67,50.1,61.24,0,,0,
2025-02-25,47.67,55.38,52.89,55.38,49.84,60.91,0,,0,
2025-02-27,47.25,55.08,52.54,55.08,49.57,60.58,0,,0,
2025-02-28,47.0,54.78,52.22,54.78,49.3,60.25,0,,0,
2025-03-03,48.27,54.54,51.96,54.54,49.09,60.0,0,,0,
2025-03-04,48.56,54.33,51.75,54.33,48.9,59.77,0,,0,
2025-03-05,50.1,54.16,51.59,54.16,48.75,59.58,0,,0,
2025-03-06,51.06,54.02,51.44,54.02,48.62,59.42,0,,0,
2025-03-07,52.55,53.9,51.3,53.9,48.51,59.29,0,,0,
2025-03-10,52.76,53.8,51.14,53.8,48.42,59.18,0,,0,
2025-03-11,51.79,53.67,50.95,53.67,48.3,59.04,0,,0,
2025-03-12,50.7,53.51,50.7,53.51,48.16,58.86,0,,0,
2025-03-13,50.8,53.32,50.47,53.32,47.99,58.65,0,,0,
2025-03-17,50.99,53.15,50.27,53.15,47.84,58.47,0,,0,
2025-03-18,51.56,53.02,50.11,53.02,47.72,58.33,0,,0,
2025-03-19,52.82,52.92,50.06,52.92,47.63,58.22,0,,0,
2025-03-20,52.95,52.84,50.1,52.84,47.55,58.12,0,,0,
2025-03-21,54.22,52.77,50.25,52.77,47.5,58.05,0,,0,
2025-03-24,55.96,52.77,50.43,52.77,47.49,58.05,0,,0,
2025-03-25,54.69,52.76,50.62,52.76,47.48,58.04,0,,0,
2025-03-26,53.55,52.72,50.8,52.72,47.45,58.0,0,,0,
2025-03-27,53.0,52.67,50.99,52.67,47.4,57.94,0,,0,
2025-03-28,52.11,52.58,51.09,52.58,47.32,57.83,0,,0,
2025-04-01,51.05,52.47,51.14,52.47,47.22,57.71,0,,0,
2025-04-02,51.09,52.36,51.22,52.36,47.13,57.6,0,,0,
2025-04-03,51.88,52.28,51.38,52.28,47.05,57.5,0,,0,
2025-04-04,51.43,52.21,51.53,52.21,46.99,57.43,0,,0,
2025-04-07,50.25,52.09,51.65,52.09,46.88,57.3,0,,0,
2025-04-08,51.46,52.02,51.82,52.02,46.82,57.22,0,,0,
2025-04-09,51.27,51.95,51.94,51.95,46.76,57.15,0,,0,
2025-04-11,52.92,51.93,52.12,51.93,46.74,57.13,0,,0,
2025-04-15,53.05,51.91,52.24,51.91,46.72,57.1,0,,0,
2025-04-16,53.02,51.88,52.31,51.88,46.69,57.07,0,,0,
2025-04-17,52.78,51.81,52.32,51.81,46.63,56.99,0,,0,
2025-04-21,54.09,51.76,52.38,51.76,46.58,56.94,0,,0,
2025-04-22,55.53,51.74,52.53,51.74,46.57,56.91,0,,0,
2025-04-23,56.28,51.73,52.75,51.73,46.55,56.9,0,,0,
2025-04-24,56.25,51.72,52.97,51.72,46.55,56.89,0,,0,
2025-04-25,55.59,51.71,53.15,51.71,46.54,56.88,0,,0,
2025-04-28,55.92,51.72,53.33,51.72,46.55,56.89,0,,0,
2025-04-29,55.46,51.74,53.43,51.74,46.57,56.92,0,,0,
2025-04-30,55.76,51.82,53.54,51.82,46.64,57.01,0,,0,
2025-05-02,56.0,51.93,53.62,51.93,46.74,57.12,0,,0,
2025-05-05,56.86,52.04,53.65,52.04,46.84,57.25,0,,0,
2025-05-06,56.13,52.17,53.71,52.17,46.95,57.38,0,,0,
2025-05-07,57.12,52.32,53.85,52.32,47.09,57.56,0,,0,
2025-05-08,56.27,52.48,53.98,52.48,47.24,57.73,0,,0,
2025-05-09,56.98,52.63,54.18,52.63,47.37,57.9,0,,0,
2025-05-12,57.6,52.79,54.44,52.79,47.51,58.07,0,,0,
2025-05-13,56.74,52.94,54.67,52.94,47.65,58.24,0,,0,
2025-05-14,56.85,53.12,54.86,53.12,47.81,58.43,0,,0,
2025-05-15,56.91,53.3,55.08,53.3,47.97,58.64,0,,0,
2025-05-16,58.03,53.52,55.39,53.52,48.17,58.87,0,,0,
2025-05-19,57.41,53.73,55.63,53.73,48.36,59.1,0,,0,
