Date,Close,DMA,DMA25,DMA50,BuyLevel,SellLevel,BuySignal,BuyPrice,SellSignal,SellPrice
2025-09-15,40.76,41.03,41.03,42.38,40.21,41.85,0,,0,
2025-09-16,40.83,40.94,40.94,42.37,40.12,41.76,0,,0,
2025-09-17,41.25,40.86,40.86,42.37,40.05,41.68,0,,0,
2025-09-18,41.18,40.88,40.88,42.35,40.06,41.7,0,,0,
2025-09-19,40.84,40.85,40.85,42.33,40.03,41.66,0,,0,
2025-09-22,43.16,40.93,40.93,42.35,40.11,41.75,0,,1,43.16
2025-09-23,42.28,40.99,40.99,42.36,40.17,41.81,0,,0,
2025-09-24,42.5,41.02,41.02,42.38,40.2,41.84,0,,0,
2025-09-25,41.76,41.03,41.03,42.37,40.21,41.85,0,,0,
2025-09-26,40.95,41.01,41.01,42.33,40.19,41.83,0,,0,
2025-09-29,40.76,40.97,40.97,42.28,40.15,41.79,0,,0,
2025-09-30,40.5,40.93,40.93,42.21,40.11,41.75,0,,0,
2025-10-01,41.8,40.99,40.99,42.1,40.17,41.81,0,,0,
2025-10-03,41.42,41.05,41.05,41.98,40.23,41.87,0,,0,
2025-10-06,41.05,41.09,41.09,41.89,40.27,41.91,0,,0,
2025-10-07,40.7,41.12,41.12,41.79,40.29,41.94,0,,0,
2025-10-08,40.57,41.11,41.11,41.71,40.29,41.93,0,,0,
2025-10-09,40.36,41.07,41.07,41.65,40.25,41.89,0,,0,
2025-10-10,40.43,41.05,41.05,41.55,40.23,41.87,0,,0,
2025-10-13,39.98,41.02,41.02,41.45,40.2,41.85,1,39.98,0,
2025-10-14,39.11,40.97,40.97,41.36,40.15,41.79,0,,0,
2025-10-15,39.83,40.95,40.95,41.27,40.13,41.77,0,,0,
2025-10-16,39.86,40.93,40.93,41.18,40.11,41.74,0,,0,
2025-10-17,38.87,40.85,40.85,41.07,40.03,41.67,0,,0,
2025-10-20,39.0,40.79,40.79,40.97,39.97,41.61,0,,0,
2025-10-21,39.3,40.73,40.73,40.88,39.92,41.55,0,,0,
2025-10-23,40.27,40.71,40.71,40.82,39.9,41.52,0,,0,
2025-10-24,39.66,40.65,40.65,40.75,39.83,41.46,0,,0,
2025-10-27,39.41,40.57,40.57,40.73,39.76,41.39,0,,0,
2025-10-28,39.15,40.51,40.51,40.68,39.7,41.32,0,,0,
2025-10-29,40.57,40.4,40.4,40.67,39.6,41.21,0,,0,
2025-10-30,40.02,40.31,40.31,40.65,39.51,41.12,0,,0,
2025-10-31,39.9,40.21,40.21,40.61,39.41,41.01,0,,0,
2025-11-03,39.86,40.13,40.13,40.58,39.33,40.94,0,,0,
2025-11-04,39.67,40.08,40.08,40.55,39.28,40.88,0,,0,
2025-11-06,38.93,40.01,40.01,40.49,39.21,40.81,0,,0,
2025-11-07,38.83,39.94,39.94,40.44,39.14,40.74,0,,0,
2025-11-10,38.3,39.8,39.8,40.4,39.01,40.6,0,,0,
2025-11-11,38.38,39.68,39.68,40.36,38.89,40.47,0,,0,
2025-11-12,39.5,39.62,39.62,40.35,38.83,40.41,0,,0,
2025-11-13,38.04,39.51,39.51,40.31,38.72,40.3,0,,0,
2025-11-14,37.95,39.41,39.41,40.26,38.62,40.2,0,,0,
2025-11-17,36.58,39.26,39.26,40.16,38.47,40.04,0,,0,
2025-11-18,36.65,39.1,39.1,40.08,38.32,39.89,0,,0,
2025-11-19,35.75,38.94,38.94,39.98,38.16,39.71,0,,0,
2025-11-20,36.05,38.81,38.81,39.89,38.04,39.59,0,,0,
2025-11-21,35.54,38.64,38.64,39.8,37.87,39.41,0,,0,
2025-11-24,34.36,38.42,38.42,39.67,37.65,39.19,0,,0,
2025-11-25,34.38,38.24,38.24,39.55,37.48,39.01,0,,0,
2025-11-26,34.26,38.05,38.05,39.42,37.29,38.81,0,,0,
2025-11-27,34.29,37.85,37.85,39.29,37.09,38.61,0,,0,
2025-11-28,32.56,37.54,37.54,39.13,36.79,38.29,0,,0,
2025-12-01,32.88,37.27,37.27,38.96,36.53,38.02,0,,0,
2025-12-02,32.35,36.99,36.99,38.78,36.25,37.73,0,,0,
2025-12-03,32.37,36.72,36.72,38.61,35.98,37.45,0,,0,
